Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,
F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,
F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,
F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,
