Package Name,Language,Date,Reviewer Name,Review title,Review,Rating,Review category
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Matthew Norris,good time waster,a good way to waste time when you do want to get into anything serious,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Lyannie Rodriguez,love it,"endless fun!! great exercise for your brain, wish it have less add",5,bu
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,PhươngTrúc Nguyễn,,it's good,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Jenna Rohde,good enough,small game that work if you need to kill time. ad be annoying but its free so whadaya want.,4,bu
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,mohd amer uddin,,gud,3,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Dhanlaxmi Mercantile,,amazing brain game,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Vukasin U,love it,simply love it!,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Maribel Martinez,,good,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,James Babcock,plays well. no save,"No real complaints about the game,  but there is no way to save the current game and start again later.",3,bu
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Huguens Alexis,great game!,simple and easy to use app. i play this game for hours.,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Troy Fernwalt,great,"simple, complicate ; addictive.",5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Aman khan,,dud love only for those who alive the game who ia expert in game bro awesome app,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Shlomo Starkman,so fun,this be a great game,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Tyler Guthrie,,annoying ad but fun.,4,bu
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Rhea Corrreya,enjoy this!,and it' affictive. easy to pick up and put down too,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,MANAS AGRAWAL,ads,ad per swipe,1,b
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Rose Lening,frustratingly fun!,yup,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,A Google User,dwarfas,works,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Neil Pace,fun game!,this time-waster have steal too much of my time. but it' be fun have it stolen.,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Mandy Ulrich,very fun,"i like this game because its easy to pick up, fun to play, but easy to pause.",4,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,adam anderson,,fun and challenge,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/7/2016,Subhash Anand,really good,"addictive game, cool and awesome!!",5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,MAKOTO TANAKA,great!,it's a perfect and good game!,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Nancy Singh,,awesom,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Ken Allwright,addictive and fun,"addictive game which challenge you enough to pass an hour of enjoyment. the ad do get in the way though and can be dismiss with a paid version. frustrate at time as it be a matter of luck with the random number generated but skill play a part. the more you play, the better you get.",4,bu
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,जितेंद्र कुमार जिंदल,nice,good and simple,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Pratap Xalxo,asha,2048,5,s
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,ramonita johnson,rammy,love strategy and puzzle game and this one be both challenge and fun. i appreciate the one oops option because my screen be extremely sensitive. thank for the fun.,5,fu
